Data for 1st Order Semi Implicit Solution,,,,
Time,Solid Area Fraction,Free Energy,Tip Position,Tip Velocity
0,6.18E-05,2.122E+06,8.5,
150,1.26E-03,2.113E+06,46.2,1.063E-03
300,2.50E-03,2.104E+06,75.8,1.083E-03
450,3.92E-03,2.092E+06,103.8,1.003E-03
600,5.51E-03,2.078E+06,130.2,9.495E-04
750,7.23E-03,2.062E+06,155.3,9.085E-04
900,9.06E-03,2.044E+06,179.3,8.697E-04
1020,1.06E-02,2.028E+06,197.8,8.337E-04
1200,1.30E-02,2.005E+06,224.3,7.999E-04
1320,1.46E-02,1.988E+06,241.4,7.744E-04
1500,1.71E-02,1.963E+06,266.0,7.423E-04
